"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.306374875E0,2.327426147E1,-9.956832886E0,-3.570137024E1,4.376548418E1
2.316359875E0,2.331916809E1,-9.872978210E0,-3.553689575E1,4.363634103E1
2.326343875E0,2.328659058E1,-9.971523285E0,-3.572025299E1,4.379078728E1
2.336328875E0,2.321788025E1,-1.001186180E1,-3.542067719E1,4.351932573E1
2.346312875E0,2.324632263E1,-9.933580399E0,-3.545921326E1,4.354794301E1
2.356296875E0,2.318835449E1,-1.003873444E1,-3.558211517E1,4.364129803E1
2.366281875E0,2.325956726E1,-1.006186104E1,-3.548509216E1,4.360550748E1
2.376265875E0,2.310505676E1,-9.903327942E0,-3.570461273E1,4.366622176E1
2.386250875E0,2.316221619E1,-1.000464630E1,-3.554123688E1,4.358624468E1
2.396234875E0,2.311502075E1,-1.023022079E1,-3.510980988E1,4.326269006E1
2.406219875E0,2.319963074E1,-1.008641815E1,-3.532914734E1,4.345235723E1
2.416203875E0,2.314677429E1,-1.016876411E1,-3.536096954E1,4.346924304E1
2.426187875E0,2.314248657E1,-1.009259224E1,-3.539849091E1,4.347974541E1
2.436172875E0,2.305526733E1,-1.009010315E1,-3.546717834E1,4.348880630E1
2.446156875E0,2.319921875E1,-1.008475494E1,-3.527584076E1,4.340842054E1
2.456141875E0,2.315658569E1,-1.013596916E1,-3.537181091E1,4.347562925E1
2.466125875E0,2.319506836E1,-1.005429840E1,-3.535594940E1,4.346427580E1
2.476110875E0,2.331529236E1,-9.939239502E0,-3.538944244E1,4.352934615E1
2.486094875E0,2.313861084E1,-1.000261879E1,-3.522088623E1,4.331233682E1
2.496078875E0,2.304911804E1,-9.986152649E0,-3.548688507E1,4.347762757E1
2.506063875E0,2.311477661E1,-1.005331421E1,-3.529911041E1,4.337498381E1
2.516047875E0,2.307220459E1,-1.000579834E1,-3.546984100E1,4.348048121E1
2.526032875E0,2.319438171E1,-1.002943230E1,-3.546196747E1,4.354445995E1
2.536016875E0,2.313928223E1,-9.975051880E0,-3.540826416E1,4.345886806E1
2.546001875E0,2.309500122E1,-9.905889511E0,-3.559542084E1,4.357223557E1
2.555985875E0,2.312152100E1,-9.927402496E0,-3.533187866E1,4.337625737E1
2.565969875E0,2.306776428E1,-1.008974457E1,-3.544293976E1,4.347558709E1
2.575954875E0,2.303358459E1,-1.002118874E1,-3.535885620E1,4.337302105E1
2.585938875E0,2.298629761E1,-1.005447769E1,-3.519373322E1,4.322107422E1
2.595923875E0,2.309762573E1,-1.015895271E1,-3.537506104E1,4.345226781E1
2.605907875E0,2.298783875E1,-1.024411964E1,-3.511203766E1,4.319997576E1
2.615892875E0,2.307327271E1,-1.015385056E1,-3.516004944E1,4.326321383E1
2.625876875E0,2.307327271E1,-1.015385056E1,-3.516004944E1,4.326321383E1
2.635860875E0,2.301205444E1,-1.014144325E1,-3.502329254E1,4.311652284E1
2.645845875E0,2.301121521E1,-1.008560181E1,-3.519300842E1,4.324099017E1
